nama_makanan,kategori_makanan,jenis_kemasan,lokasi_penyimpanan,sudah_terbuka,hari_berakhir,hari_sejak_dibuka,sisa_hari,label,cara_simpan
Yogurt Plain,Produk Olahan Susu,Plastik,Pendingin,0,5,0,5,Segera,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Biskuit Marie,Produk Kering,Plastik,Suhu Ruang,0,31,0,31,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Nugget Udang,Produk Protein,Plastik,Pembeku,0,101,0,101,Segar,Simpan di tempat yang bersih dan sesuai dengan petunjuk suhu pada label kemasan.
Sarden Cabai,Produk Kaleng,Kaleng,Suhu Ruang,0,423,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Biskuit Crackers,Produk Kering,Plastik,Suhu Ruang,0,138,0,138,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Sosis Frankfurter,Produk Protein,Plastik,Pendingin,0,42,0,42,Segar,Simpan dalam kulkas pada suhu stabil 2-5°C untuk menjaga kesegaran.
Sarden Cabai,Produk Kaleng,Kaleng,Suhu Ruang,1,398,7,-5,Kadaluwarsa,Jangan simpan di dalam kaleng yang sudah terbuka. Pindahkan isi ke wadah plastik/kaca dan simpan di lemari pendingin.
Biskuit Mentega,Produk Kering,Kaleng,Suhu Ruang,0,35,0,35,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Susu Bubuk Coklat,Produk Olahan Susu,Karton,Suhu Ruang,1,500,12,6,Segera,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Biskuit Wafer,Produk Kering,Plastik,Suhu Ruang,1,36,7,-2,Kadaluwarsa,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Teh Lemon,Produk Minuman,Karton,Suhu Ruang,0,144,0,144,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Biskuit Mentega,Produk Kering,Kaleng,Suhu Ruang,1,-5,10,4,Segera,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Nugget Ayam,Produk Protein,Plastik,Pembeku,1,95,1,2,Segera,"Setelah dibuka, pindahkan ke wadah kedap udara. Simpan di freezer agar tahan lebih lama."
Soda Jeruk,Produk Minuman,Kaleng,Suhu Ruang,0,26,0,26,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Sereal Cornflakes,Produk Kering,Karton,Suhu Ruang,0,340,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Nugget Ayam,Produk Protein,Plastik,Pembeku,1,159,4,-1,Kadaluwarsa,"Setelah dibuka, pastikan kemasan tertutup sangat rapat dan simpan di tempat yang sejuk."
Sarden Minyak Zaitun,Produk Kaleng,Kaleng,Suhu Ruang,0,341,0,250,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Susu Kental Manis Putih,Produk Olahan Susu,Kaleng,Pendingin,1,500,5,9,Segar,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Biskuit Wafer,Produk Kering,Plastik,Suhu Ruang,0,162,0,162,Segar,Simpan di tempat yang bersih dan sesuai dengan petunjuk suhu pada label kemasan.
Biskuit Crackers,Produk Kering,Plastik,Suhu Ruang,0,28,0,28,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Biskuit Oreo,Produk Kering,Plastik,Suhu Ruang,0,17,0,17,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Teh Kotak Hijau,Produk Minuman,Karton,Suhu Ruang,1,220,2,-1,Kadaluwarsa,Tutup rapat kembali tutup botolnya dan simpan di kulkas agar tetap segar.
Sereal Coklat,Produk Kering,Karton,Suhu Ruang,1,119,12,-2,Kadaluwarsa,Pastikan kemasan ditutup rapat dengan klip atau pindahkan ke toples kedap udara agar tidak melempem.
Buah Cocktail,Produk Kaleng,Kaleng,Suhu Ruang,0,197,0,197,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
Yogurt Stroberi,Produk Olahan Susu,Plastik,Pendingin,1,30,6,-3,Kadaluwarsa,"Setelah dibuka, tutup rapat dan segera simpan di lemari pendingin. Sebaiknya habiskan dalam 3-5 hari."
Cola Zero Sugar,Produk Minuman,Kaleng,Suhu Ruang,0,-5,0,40,Segar,"Simpan di tempat kering dan sejuk, hindarkan dari paparan sinar matahari langsung dan benda berbau tajam."
